user_id,pay_days,repay_days
39466021,15,15
39469103,10,21
39477693,30,72
39479098,30,30
39491108,10,56
39492734,30,97
39492758,30,30
39507750,10,44
39508685,10,16
39516419,30,39
39519848,10,81
39522246,15,15
39526710,30,30
39527105,15,17
39556718,30,97
39625175,30,43
39625236,30,30
39625512,15,15
39625536,15,23
39661923,30,32
39688717,10,12
39723304,30,30
39723560,30,63
39742258,30,30
39742272,30,39
39747655,10,48
39753395,15,15
39760876,10,10
39768749,30,60
39768764,30,33
39769693,30,58
39770234,30,31
39796489,10,32
39798106,30,30
39803983,10,14
39811986,10,41
39813415,15,17
39824830,10,10
39825928,30,30
39826090,10,32
39829581,30,33
39831740,10,54
39832769,10,10
39837268,15,16
39842172,10,20
39852954,30,30
39875959,10,13
39884551,30,30
39898581,10,10
39899309,15,15
39909916,10,12
39912118,15,15
39913255,10,18
39913262,30,33
39915577,10,18
39926440,10,46
39927827,15,15
39932714,10,56
39954300,10,10
39964586,10,10
39971003,10,10
39976642,15,28
39976823,10,12
39978269,15,15
39987267,15,20
39990015,10,21
39991515,30,30
39991518,30,30
39991531,30,30
39996698,10,26
310008771,30,84
310017039,15,19
310023401,15,15
310036075,30,32
310079658,15,21
310079690,10,27
310093058,10,21
310098945,30,30
310099503,30,30
310133969,15,15
310136565,10,45
310147766,30,30
310150196,15,60
310150222,15,15
310185406,10,12
333326216,15,15
333350783,30,30
333400732,90,90
333427369,10,21
333427624,10,37
333428368,10,69
333428720,10,11
333428757,15,16
333428774,10,10
333429040,15,15
333429145,30,55
333429328,30,30
333429355,30,30
333429364,10,11
333429375,10,79
333429377,90,104
333432211,10,54
333445575,10,87
333451800,30,30
333460071,10,32
333469893,10,19
333475579,15,18
333477309,10,12
333478002,10,67
333481911,10,10
333517524,10,54
333532917,10,41
333538899,30,31
333571172,10,10
333575899,30,30
333579146,90,90
333587263,15,15
333636836,15,15
333636853,15,17
333636996,15,16
333637004,15,18
333647678,30,30
333655050,30,61
333656946,15,23
333656983,30,31
333660004,10,10
333708837,30,31
333738221,30,30
333738690,30,30
333740887,30,46
333744914,10,13
333756585,15,25
333756993,10,71
333761944,15,16
333761948,30,31
333762058,15,16
333762065,15,15
333762086,30,31
333762166,10,84
333803558,10,41
333820917,30,31
333828940,30,34
333834720,15,15
333838122,15,21
333842245,30,30
333872658,30,77
333890052,30,30
333893844,30,30
333893885,30,32
333895352,10,28
333895982,30,31
333902508,10,11
333921310,10,103
334031349,30,45
334050511,15,15
334050572,30,30
334051309,30,68
334069682,15,15
334069717,10,46
334097805,30,30
334113510,15,16
334119848,15,20
334119863,30,30
334121579,30,38
334123658,15,15
334123916,30,87
334126976,10,11
334135180,10,10
334170228,30,30
334178336,10,26
334197068,15,16
334214773,10,50
334223438,30,30
334228373,30,40
334231708,30,30
334232356,30,31
334280181,10,11
334286090,10,25
334287922,90,90
334299482,10,36
334305871,10,15
334305925,10,14
334313094,30,30
334313118,10,32
334333942,90,92
334371056,15,16
334389704,10,49
334397191,30,60
334407571,30,44
334433531,30,31
334623249,30,32
334624066,10,10
334652501,15,34
334655498,10,42
334657818,15,16
334657832,10,10
334658185,10,12
334702820,180,180
334710973,15,15
334710991,10,50
334791766,10,12
334793616,30,35
334793646,30,72
334793661,30,31
334809423,10,47
334868143,10,17
334975504,10,10
334975682,30,30
334975711,30,30
335002201,15,15
335002217,15,16
335004043,15,17
335004075,15,17
335144438,10,10
335159338,10,11
335169832,10,11
335228682,10,14
335239607,30,33
335244910,10,91
335250337,10,11
335297144,30,37
335297583,30,31
335297947,10,19
335310355,15,21
335314331,10,10
335318729,30,30
335348409,10,10
335359874,10,34
335363720,90,90
335382254,10,61
335432747,15,17
335436571,10,54
335436613,30,32
335467851,10,10
335604207,15,21
335606599,10,16
335632516,10,23
335655004,15,16
335655026,30,30
335655032,10,85
335655046,15,16
335655057,10,10
335669224,10,28
335672283,10,10
335681157,10,11
335682202,30,37
335691769,30,31
335731337,10,10
335740219,10,54
335756711,15,15
335756734,15,22
335797613,10,16
335884851,10,14
335885383,15,15
335899213,30,30
335903671,30,33
335937799,30,41
336006654,15,15
336007523,10,74
336010686,15,15
336027280,30,69
336073507,10,10
336074616,15,18
336074657,15,26
336074659,10,12
336130813,10,12
336167517,15,15
336175706,10,15
336179591,90,90
336181395,15,19
336187680,15,18
336245286,10,16
336308789,30,30
336346111,10,36
336346171,10,10
336352867,10,14
336381325,10,15
336385757,10,91
336419915,10,10
336489747,30,30
336491598,30,88
336491599,10,62
336503691,30,30
336504940,30,53
336507997,10,82
336508370,15,18
336509287,30,30
336545824,10,22
336552134,15,24
336557685,30,30
336590211,10,10
336674920,10,31
336678512,90,90
336679210,30,39
336679687,15,22
336681690,15,15
336722253,30,30
336722263,15,17
336722265,15,16
336758497,15,15
336781578,15,42
336784495,30,30
336788323,15,15
336803254,15,20
336810444,30,75
336811978,30,31
336815308,10,15
336817696,30,30
336817698,30,39
336817712,30,30
336817722,15,15
336822512,90,90
336822684,10,40
336824288,30,30
336830517,10,12
336849444,10,53
336877567,90,90
336877614,10,10
336877896,30,32
336880236,30,30
336892832,15,17
336892945,30,30
336894888,10,72
336898886,10,17
336903309,10,10
336908988,30,30
336915009,30,99
336952328,90,97
337003784,30,47
337004198,10,14
337011313,30,32
337012126,10,27
337048634,15,15
337102921,10,11
337104961,30,30
337104972,15,15
337110073,90,180
337110362,30,51
337111295,90,110
337116670,30,30
337122382,30,46
337122621,15,15
337122680,10,14
337122684,30,30
337122696,30,60
337122697,30,30
337122708,30,90
337122752,30,33
337122965,30,30
337122980,15,15
337125868,30,35
337154625,30,30
337156591,30,30
337166646,15,16
337187812,10,10
337190580,15,19
337190821,10,20
337216023,10,21
337220514,30,59
337223462,15,15
337225254,30,43
337227998,30,30
337241772,10,10
337242470,10,25
337242477,10,36
337242481,30,61
337242496,10,22
337254209,30,30
337285528,30,30
337341109,10,20
337343180,10,40
337343741,15,15
337347316,10,26
337349098,10,12
337357008,15,27
337357030,30,32
337363011,10,10
337371296,10,10
337371557,30,33
337385325,15,17
337399667,15,15
337408177,10,54
337408178,10,13
337434749,15,17
337436405,15,15
337438586,10,49
337440430,30,30
337452622,30,30
337452746,10,13
337480785,10,14
337481045,10,79
337492765,15,15
337494407,10,10
337496200,15,34
337532832,15,15
337535181,15,15
337536201,10,11
337536225,10,12
337536228,30,30
337540392,10,21
337541189,10,10
337541700,30,34
337541705,15,15
337541803,15,16
337541820,10,30
337542235,30,30
337565843,15,15
337627530,10,16
337636773,10,12
337645518,10,26
337666639,30,30
337688729,10,10
337688730,365,365
337691162,30,35
337711811,10,12
337722018,15,15
337722026,10,99
337722064,10,118
337722197,10,11
337731302,10,17
