,usage,pay
1423,10,10
1424,10,112
1425,10,99
1426,10,60
1427,10,13
1428,90,110
1429,10,19
1430,10,19
1431,30,60
1432,30,51
1433,10,12
1434,30,31
1435,10,57
1436,10,88
1437,10,10
1438,10,26
1439,30,44
1440,10,61
1441,10,87
1442,10,110
1443,10,62
1444,10,23
1445,10,44
1446,30,61
1447,10,8
1448,90,99
1449,10,41
1450,10,1
1451,10,6
1452,10,64
1453,10,11
1454,10,85
1455,10,118
1456,10,26
1457,10,10
1458,30,36
1459,10,46
1460,10,72
1461,30,36
1462,30,30
1463,10,69
1464,10,83
1465,10,36
1466,10,16
1467,10,89
1468,10,49
1469,10,45
1470,10,12
1471,10,12
1472,10,9
1473,90,98
1474,10,61
1475,10,60
1476,30,29
1477,10,65
1478,10,14
1479,10,23
1480,90,21
1481,30,47
1482,10,109
1483,10,8
1484,10,77
1485,10,10
1486,10,22
1487,10,1
1488,10,71
1489,10,12
1490,10,76
1491,30,29
1492,10,11
1493,10,22
1494,10,13
1495,90,92
1496,30,31
1497,10,64
1498,10,87
1499,10,101
1500,10,11
1501,90,66
1502,10,16
1503,30,30
1504,10,14
1505,10,54
1506,10,65
1507,10,36
1508,10,11
1509,10,103
1510,10,10
1511,90,114
1512,10,35
1513,10,86
1514,30,17
1515,10,66
1516,10,12
1517,10,11
1518,10,11
1519,10,16
1520,10,97
1521,10,17
1522,10,9
1523,10,70
1524,10,2
1525,10,3
1526,10,11
1527,10,13
1528,10,11
1529,10,60
1530,10,23
1531,10,97
1532,10,17
1533,10,11
1534,10,12
1535,10,0
1536,10,11
1537,10,86
1538,10,8
1539,10,42
1540,10,42
1541,10,112
1542,10,16
1543,10,16
1544,10,15
1545,10,82
1546,10,81
1547,10,26
1548,10,6
1549,10,11
1550,10,72
1551,10,64
1552,30,79
1553,10,1
1554,10,15
1555,10,10
1556,10,78
1557,30,30
1558,10,73
1559,30,31
1560,90,91
1561,10,13
1562,10,19
1563,10,13
1564,10,9
1565,10,13
1566,30,31
1567,10,10
1568,30,0
1569,30,18
1570,10,11
1571,10,30
1572,90,88
1573,90,91
1574,10,90
1575,30,37
1576,90,86
1577,10,60
1578,10,13
1579,30,34
1580,10,61
1581,10,10
1582,10,9
1583,10,84
1584,10,17
1585,10,1
1586,10,12
1587,10,38
1588,10,15
1589,10,75
1590,10,16
1591,30,94
1592,90,0
1593,10,41
1594,30,68
1595,10,14
1596,30,64
1597,10,10
1598,10,10
1599,10,9
1600,10,9
1601,10,10
1602,10,66
1603,30,31
1604,10,10
1605,10,11
1606,10,49
1607,30,101
1608,10,13
1609,30,44
1610,10,20
1611,30,42
1612,10,10
1613,10,9
1614,10,18
1615,10,9
1616,30,97
1617,30,97
1618,10,37
1619,10,69
1620,30,30
1621,30,38
1622,10,63
1623,30,34
1624,10,10
1625,10,14
1626,10,16
1627,10,62
1628,10,61
1629,30,103
1630,10,10
1631,10,11
1632,10,58
1633,90,89
1634,30,51
1635,10,61
1636,30,95
1637,10,13
1638,30,5
1639,10,10
1640,30,12
1641,30,78
1642,10,15
1643,10,10
1644,10,14
1645,30,67
1646,10,13
1647,10,73
1648,10,1
1649,10,59
1650,10,23
1651,10,15
1652,10,74
1653,30,30
1654,10,9
1655,10,18
1656,10,12
1657,10,91
1658,10,14
1659,10,3
1660,30,45
1661,10,66
1662,30,32
1663,30,69
1664,10,21
1665,10,10
1666,10,9
1667,10,18
1668,10,1
1669,30,2
1670,10,30
1671,90,0
1672,10,10
1673,10,23
1674,30,70
1675,10,0
1676,10,11
1677,30,46
1678,10,42
1679,10,11
1680,10,60
1681,10,19
1682,10,87
1683,90,88
1684,10,68
1685,10,74
1686,10,12
1687,10,0
1688,10,107
1689,10,27
1690,10,62
1691,10,63
1692,10,3
1693,10,24
1694,30,24
1695,10,10
1696,10,89
